Date,Open,High,Low,Close,Adj Close,Volume
2017-10-28,0.533600,0.679300,0.532700,0.666800,0.666800,8282721
2017-10-27,0.521800,0.540900,0.516500,0.533900,0.533900,2171490
2017-10-26,0.518900,0.523700,0.501100,0.521300,0.521300,1868391
2017-10-25,0.503800,0.528400,0.502300,0.518900,0.518900,2126872
2017-10-24,0.517300,0.527800,0.485600,0.504100,0.504100,2290713
2017-10-23,0.492500,0.551200,0.477600,0.517600,0.517600,3087091
2017-10-22,0.518900,0.523900,0.479300,0.492400,0.492400,3006265
2017-10-21,0.528200,0.541500,0.497900,0.519200,0.519200,2365226
2017-10-20,0.539600,0.541000,0.512200,0.528400,0.528400,3480635
2017-10-19,0.566500,0.588800,0.539500,0.539500,0.539500,2991733
2017-10-18,0.543400,0.594600,0.542400,0.566300,0.566300,3901100
2017-10-17,0.551900,0.567900,0.511000,0.543200,0.543200,3082220
2017-10-16,0.561200,0.567500,0.537400,0.550100,0.550100,2552997
2017-10-15,0.574000,0.585300,0.559300,0.560800,0.560800,2371426
2017-10-14,0.583600,0.591800,0.562900,0.573800,0.573800,2788497
2017-10-13,0.587200,0.618500,0.576800,0.583600,0.583600,3466288
2017-10-12,0.594700,0.616900,0.548300,0.587200,0.587200,4042813
2017-10-11,0.607600,0.642000,0.581400,0.594700,0.594700,4340594
2017-10-10,0.552000,0.627800,0.546800,0.607600,0.607600,4345919
2017-10-09,0.558000,0.589200,0.547400,0.552000,0.552000,3287961
2017-10-08,0.606000,0.606100,0.524800,0.558000,0.558000,3385306
2017-10-07,0.589500,0.617400,0.575400,0.606000,0.606000,3004729
2017-10-06,0.600500,0.607500,0.571200,0.589500,0.589500,2213861
2017-10-05,0.605400,0.610000,0.586200,0.600500,0.600500,2401400
2017-10-04,0.600800,0.621400,0.575200,0.605400,0.605400,3418564
2017-10-03,0.630800,0.634700,0.582900,0.600800,0.600800,2556541
2017-10-02,0.654900,0.669000,0.605700,0.630800,0.630800,2841163
